"gene"	"baseMean"	"log2FoldChange"	"lfcSE"	"stat"	"pvalue"	"padj"	"entrezgene_id"	"hgnc_symbol"	"description"
"1"	"ENSG00000002822"	300.106072574586	1.03352481416488	0.360203648540048	2.85882451357728	0.00425213941126044	0.0327105435607227	8379	"MAD1L1"	"mitotic arrest deficient 1 like 1 [Source:HGNC Symbol;Acc:HGNC:6762]"
"2"	"ENSG00000003147"	76.5162042882355	1.4940857154881	0.374706273751951	3.98681618692596	6.69658657568755e-05	0.00128547198796404	3382	"ICA1"	"islet cell autoantigen 1 [Source:HGNC Symbol;Acc:HGNC:5343]"
"3"	"ENSG00000003436"	149.60696756322	1.33844593443778	0.578590985340919	2.6735938793262	0.00750432687433387	0.0497330288055769	7035	"TFPI"	"tissue factor pathway inhibitor [Source:HGNC Symbol;Acc:HGNC:11760]"
"4"	"ENSG00000004139"	275.380202519232	-1.51198400331191	0.158141349095749	-9.55589329835668	1.22522298153473e-21	4.86478009089368e-19	23098	"SARM1"	"sterile alpha and TIR motif containing 1 [Source:HGNC Symbol;Acc:HGNC:17074]"
"5"	"ENSG00000004468"	695.128252117791	2.05050282647783	0.346886591548351	5.92212292660299	3.17811909578222e-09	2.26186136401708e-07	952	"CD38"	"CD38 molecule [Source:HGNC Symbol;Acc:HGNC:1667]"
"6"	"ENSG00000004809"	26.1569162838013	1.88967452468292	0.569099625201148	3.29966413624998	0.00096800602314422	0.0107437047587635	85413	"SLC22A16"	"solute carrier family 22 member 16 [Source:HGNC Symbol;Acc:HGNC:20302]"
"7"	"ENSG00000005189"	55.7597983803445	1.57556461970088	0.441340787480192	3.55214551571509	0.000382103484652039	0.00511581530658458	81691	"REXO5"	"RNA exonuclease 5 [Source:HGNC Symbol;Acc:HGNC:24661]"
"8"	"ENSG00000005249"	63.7245846887465	1.66671478746674	0.447922289827749	3.66996723808097	0.000242581557161021	0.00356732020901119	5577	"PRKAR2B"	"protein kinase cAMP-dependent type II regulatory subunit beta [Source:HGNC Symbol;Acc:HGNC:9392]"
"9"	"ENSG00000005381"	777.270133368597	2.32928530497056	0.530970347954321	4.3301817778998	1.48986304091532e-05	0.000377862124689944	4353	"MPO"	"myeloperoxidase [Source:HGNC Symbol;Acc:HGNC:7218]"
"10"	"ENSG00000006432"	322.955564359934	-1.04963106634857	0.203723429144666	-5.15099189641896	2.59112385956362e-07	1.11635384272948e-05	4293	"MAP3K9"	"mitogen-activated protein kinase kinase kinase 9 [Source:HGNC Symbol;Acc:HGNC:6861]"
"11"	"ENSG00000006453"	73.4785436705469	-3.11041815106193	0.371099000493682	-8.0542986499221	7.99358258386197e-16	1.57313705250404e-13	55971	"BAIAP2L1"	"BAR/IMD domain containing adaptor protein 2 like 1 [Source:HGNC Symbol;Acc:HGNC:21649]"
"12"	"ENSG00000006459"	6899.2435477507	1.4141973539742	0.36379014595029	3.88433456652117	0.000102610531242893	0.00179743153489872	80853	"KDM7A"	"lysine demethylase 7A [Source:HGNC Symbol;Acc:HGNC:22224]"
"13"	"ENSG00000006555"	418.861376772227	-1.18933267656862	0.194887585034189	-6.10179695163295	1.04882561854865e-09	8.5384969061126e-08	55001	"TTC22"	"tetratricopeptide repeat domain 22 [Source:HGNC Symbol;Acc:HGNC:26067]"
"14"	"ENSG00000006638"	468.242642910197	1.32387033429745	0.442732330726061	2.97921647634128	0.0028898653391822	0.0245772791221384	6915	"TBXA2R"	"thromboxane A2 receptor [Source:HGNC Symbol;Acc:HGNC:11608]"
"15"	"ENSG00000006747"	17.6521658646975	-2.41516159085568	0.500101485989937	-4.50420023922405	6.66233654282261e-06	0.000191347716544621	85477	"SCIN"	"scinderin [Source:HGNC Symbol;Acc:HGNC:21695]"
"16"	"ENSG00000007062"	320.781151708319	1.80255514527801	0.578964088793982	3.26944115283991	0.00107760149471627	0.0116523062725364	8842	"PROM1"	"prominin 1 [Source:HGNC Symbol;Acc:HGNC:9454]"
"17"	"ENSG00000007237"	110.810377432386	1.52431111458875	0.503246367142857	3.08288861701758	0.00205001868674632	0.0191432354226618	8522	"GAS7"	"growth arrest specific 7 [Source:HGNC Symbol;Acc:HGNC:4169]"
"18"	"ENSG00000007384"	12.3741600025695	1.60305263837982	0.496745556440513	3.10165878600952	0.00192439634173575	0.0182918681252262	64285	"RHBDF1"	"rhomboid 5 homolog 1 [Source:HGNC Symbol;Acc:HGNC:20561]"
"19"	"ENSG00000007402"	211.788051167216	-1.10333087119525	0.231772252550506	-4.75757651891866	1.95930995836806e-06	6.69835392413686e-05	9254	"CACNA2D2"	"calcium voltage-gated channel auxiliary subunit alpha2delta 2 [Source:HGNC Symbol;Acc:HGNC:1400]"
"20"	"ENSG00000008056"	166.269590189316	2.36159364155921	0.488703392597245	4.71560308318858	2.40995840297628e-06	7.97400271581273e-05	6853	"SYN1"	"synapsin I [Source:HGNC Symbol;Acc:HGNC:11494]"
"21"	"ENSG00000008226"	95.7730886674144	-1.28828265485663	0.301306052915324	-4.26922474223429	1.96153550691235e-05	0.000470269826191105	9940	"DLEC1"	"DLEC1 cilia and flagella associated protein [Source:HGNC Symbol;Acc:HGNC:2899]"
"22"	"ENSG00000008283"	520.21990927845	-1.74703845294035	0.422348223003053	-4.14502156438451	3.3978173259563e-05	0.000741556429325389	1534	"CYB561"	"cytochrome b561 [Source:HGNC Symbol;Acc:HGNC:2571]"
"23"	"ENSG00000008311"	409.52396864668	-2.25951213979411	0.269292350540148	-8.38272496447631	5.17162225484531e-17	1.20664077187277e-14	10157	"AASS"	"aminoadipate-semialdehyde synthase [Source:HGNC Symbol;Acc:HGNC:17366]"
"24"	"ENSG00000009694"	1499.64452068878	2.25117585667714	0.303619194633884	7.40100375661417	1.35158908310822e-13	1.960843854417e-11	10178	"TENM1"	"teneurin transmembrane protein 1 [Source:HGNC Symbol;Acc:HGNC:8117]"
"25"	"ENSG00000010310"	65.6507972204228	-2.61744801171877	0.424566398741479	-6.10429976584321	1.03252341813768e-09	8.43612635353499e-08	2696	"GIPR"	"gastric inhibitory polypeptide receptor [Source:HGNC Symbol;Acc:HGNC:4271]"
"26"	"ENSG00000010327"	53.1643887882629	1.79835113268784	0.485087416276826	3.6551449132689	0.000257036747449875	0.00373140196811133	23166	"STAB1"	"stabilin 1 [Source:HGNC Symbol;Acc:HGNC:18628]"
"27"	"ENSG00000010704"	78.1419969953911	-2.69959007143598	0.398979829652389	-6.70727001311598	1.98299138809264e-11	2.22173569778775e-09	3077	"HFE"	"homeostatic iron regulator [Source:HGNC Symbol;Acc:HGNC:4886]"
"28"	"ENSG00000011028"	263.599575874101	2.39634958021103	0.322971407398739	7.39978848078176	1.36401591356567e-13	1.96626803540243e-11	9902	"MRC2"	"mannose receptor C type 2 [Source:HGNC Symbol;Acc:HGNC:16875]"
"29"	"ENSG00000011426"	41.6706639229867	2.26315095706336	0.45199331506267	4.8751722352154	1.08713560886457e-06	3.92409140348055e-05	54443	"ANLN"	"anillin actin binding protein [Source:HGNC Symbol;Acc:HGNC:14082]"
"30"	"ENSG00000012779"	68.7022792191883	1.25824040932409	0.452564420683428	2.75179887646984	0.00592689088571862	0.0417613307987496	240	"ALOX5"	"arachidonate 5-lipoxygenase [Source:HGNC Symbol;Acc:HGNC:435]"
"31"	"ENSG00000013016"	131.840532596942	-1.00905326427472	0.250882081394142	-4.02005339721224	5.81849520019409e-05	0.00114012279974712	30845	"EHD3"	"EH domain containing 3 [Source:HGNC Symbol;Acc:HGNC:3244]"
"32"	"ENSG00000013619"	54.9885970681715	-2.32569526954153	0.392965637141247	-5.87196912207376	4.30648969296948e-09	2.97147788814894e-07	10046	"MAMLD1"	"mastermind like domain containing 1 [Source:HGNC Symbol;Acc:HGNC:2568]"
"33"	"ENSG00000014914"	24.1442778855084	-2.08896074253831	0.339251128426268	-6.0445943545653	1.49786375806127e-09	1.18117256349974e-07	10903	"MTMR11"	"myotubularin related protein 11 [Source:HGNC Symbol;Acc:HGNC:24307]"
"34"	"ENSG00000019102"	28.1236435017265	-1.88679478297043	0.463841094476752	-4.00374859654627	6.23466198051622e-05	0.00121014468218733	23584	"VSIG2"	"V-set and immunoglobulin domain containing 2 [Source:HGNC Symbol;Acc:HGNC:17149]"
"35"	"ENSG00000019144"	62.7394739089237	-1.62446869573537	0.342542647467694	-4.73364558310529	2.20522658261636e-06	7.3938797063368e-05	23187	"PHLDB1"	"pleckstrin homology like domain family B member 1 [Source:HGNC Symbol;Acc:HGNC:23697]"
"36"	"ENSG00000019991"	12.7412178866932	1.48359986379403	0.520331199917311	2.7366799295615	0.00620626446926398	0.0432185161441177	3082	"HGF"	"hepatocyte growth factor [Source:HGNC Symbol;Acc:HGNC:4893]"
"37"	"ENSG00000020181"	22.826754722642	2.78319338340012	0.526957204524431	4.89959607893655	9.60338799467573e-07	3.55137054077616e-05	25960	"ADGRA2"	"adhesion G protein-coupled receptor A2 [Source:HGNC Symbol;Acc:HGNC:17849]"
"38"	"ENSG00000021300"	1488.26961163528	-2.05607032765724	0.256239260648427	-8.01767346303368	1.07766835310024e-15	2.08459745020211e-13	58473	"PLEKHB1"	"pleckstrin homology domain containing B1 [Source:HGNC Symbol;Acc:HGNC:19079]"
"39"	"ENSG00000021762"	237.483696276704	1.13467625379642	0.397733880401138	2.84283336623478	0.00447144416224453	0.0339134464745034	114879	"OSBPL5"	"oxysterol binding protein like 5 [Source:HGNC Symbol;Acc:HGNC:16392]"
"40"	"ENSG00000023171"	371.273588547789	1.34180314372689	0.230293317651052	5.81946642044137	5.90357823199217e-09	3.94129152054415e-07	57476	"GRAMD1B"	"GRAM domain containing 1B [Source:HGNC Symbol;Acc:HGNC:29214]"
"41"	"ENSG00000024422"	107.827716531608	1.53048127088043	0.579377135766345	2.76436699469098	0.00570333532481631	0.0405677855545758	30846	"EHD2"	"EH domain containing 2 [Source:HGNC Symbol;Acc:HGNC:3243]"
"42"	"ENSG00000024526"	9.62693240479338	1.77279218801977	0.574338949496867	3.01173713031975	0.00259757431247243	0.022724507862341	55635	"DEPDC1"	"DEP domain containing 1 [Source:HGNC Symbol;Acc:HGNC:22949]"
"43"	"ENSG00000025039"	452.22151963626	1.18806401985189	0.445338049257486	2.67440315986612	0.00748623938676956	0.0496857975957093	58528	"RRAGD"	"Ras related GTP binding D [Source:HGNC Symbol;Acc:HGNC:19903]"
"44"	"ENSG00000026652"	406.168862028581	1.0705721923544	0.243385281657624	4.39575973407034	1.1038598157025e-05	0.000293912415870341	56895	"AGPAT4"	"1-acylglycerol-3-phosphate O-acyltransferase 4 [Source:HGNC Symbol;Acc:HGNC:20885]"
"45"	"ENSG00000026751"	636.739820918881	-1.74399971694521	0.532040269302225	-3.43792328810713	0.000586193738840932	0.00724562353765591	57823	"SLAMF7"	"SLAM family member 7 [Source:HGNC Symbol;Acc:HGNC:21394]"
"46"	"ENSG00000029153"	86.8111998762891	1.63486900078129	0.511046971650422	3.32894829034549	0.000871745878264193	0.0099142475964197	56938	"ARNTL2"	"aryl hydrocarbon receptor nuclear translocator like 2 [Source:HGNC Symbol;Acc:HGNC:18984]"
"47"	"ENSG00000029993"	79.0470194900805	1.25908307461249	0.430960252033692	2.92539156198501	0.0034402305002338	0.0280068432931595	3149	"HMGB3"	"high mobility group box 3 [Source:HGNC Symbol;Acc:HGNC:5004]"
"48"	"ENSG00000030419"	1360.85947561191	1.96079772396055	0.403822100523538	4.8729187037933	1.09961480449151e-06	3.96281564574074e-05	22807	"IKZF2"	"IKAROS family zinc finger 2 [Source:HGNC Symbol;Acc:HGNC:13177]"
"49"	"ENSG00000033122"	163.995006882887	-1.16295304552582	0.371950209052689	-3.12315996197362	0.00178920476952426	0.017275291102335	57554	"LRRC7"	"leucine rich repeat containing 7 [Source:HGNC Symbol;Acc:HGNC:18531]"
"50"	"ENSG00000033327"	176.540790199835	1.04206039816634	0.365609756533276	2.85060546550302	0.00436360764043261	0.0333079165164961	9846	"GAB2"	"GRB2 associated binding protein 2 [Source:HGNC Symbol;Acc:HGNC:14458]"
"51"	"ENSG00000035862"	682.151145068422	1.5733621444248	0.468078726092178	3.36692471877098	0.000760114351437899	0.0088949886255132	7077	"TIMP2"	"TIMP metallopeptidase inhibitor 2 [Source:HGNC Symbol;Acc:HGNC:11821]"
"52"	"ENSG00000037042"	467.426598136289	-1.36020965057337	0.221726562809536	-6.1320680045765	8.67440065872665e-10	7.24424486008493e-08	27175	"TUBG2"	"tubulin gamma 2 [Source:HGNC Symbol;Acc:HGNC:12419]"
"53"	"ENSG00000037280"	179.629893841894	-4.74598085745817	0.410560503649655	-11.1653786056344	6.02340206108991e-29	4.13095864989657e-26	2324	"FLT4"	"fms related receptor tyrosine kinase 4 [Source:HGNC Symbol;Acc:HGNC:3767]"
"54"	"ENSG00000038382"	452.105630548563	1.30342169134175	0.37276985404105	3.5003250491077	0.000464691151213412	0.00603378665190013	7204	"TRIO"	"trio Rho guanine nucleotide exchange factor [Source:HGNC Symbol;Acc:HGNC:12303]"
"55"	"ENSG00000038945"	4.70218145521172	1.70092172887516	0.5734114203474	3.21745224278129	0.00129334556692464	0.0134270627846965	4481	"MSR1"	"macrophage scavenger receptor 1 [Source:HGNC Symbol;Acc:HGNC:7376]"
"56"	"ENSG00000041515"	27.0270291677437	-2.03605934892468	0.477733933366405	-4.18743080119453	2.82129999685397e-05	0.000638516615287992	23026	"MYO16"	"myosin XVI [Source:HGNC Symbol;Acc:HGNC:29822]"
"57"	"ENSG00000042062"	328.223968552177	1.59681968067387	0.562992038335437	2.94082739669526	0.00327336876570105	0.0269392297837623	140876	"RIPOR3"	"RIPOR family member 3 [Source:HGNC Symbol;Acc:HGNC:16168]"
"58"	"ENSG00000044459"	38.3726182612009	1.78084306742873	0.551788984428688	3.2894309705897	0.00100390178057821	0.0110453597948693	54875	"CNTLN"	"centlein [Source:HGNC Symbol;Acc:HGNC:23432]"
